fill_rate,critical_fill_rate,stockout_events,critical_stockout_days,premium_freight_events,premium_freight_cost_eur,line_stop_events,line_stop_hours,line_stop_cost_eur,p95_shortage_duration_days,total_disruption_cost_eur,scenario,policy
0.9987248908644552,1.0,1157,10,462,270097.26477854035,0,0.0,0.0,2.0,270097.26477854035,nominal,Nominal joint
0.9985532784790655,0.9997931357956419,1189,8,420,241216.564136765,1,1.3387185316716295,24096.93357008933,2.0,265313.4977068543,nominal,Nominal joint
0.9988834669558201,1.0,1063,12,391,230503.58789722252,0,0.0,0.0,2.0,230503.58789722252,nominal,Nominal joint
0.998639140668175,0.999386745932073,1121,8,437,278502.7466974519,2,3.8252836607779375,68855.10589400287,2.0,347357.8525914548,nominal,Nominal joint
0.9989623771959125,0.9999866387171725,801,7,297,183274.560253335,1,1.4197210185889428,25554.97833460097,2.0,208829.53858793597,nominal,Nominal joint
0.9990815455075451,1.0,793,8,296,175623.25460076594,0,0.0,0.0,2.0,175623.25460076594,nominal,Nominal joint
0.9988690976933242,0.9997928925499759,998,6,389,235127.10480678277,1,1.3250339834444724,23850.611702000504,2.0,258977.71650878328,nominal,Nominal joint
0.9987815526652157,0.9999893615410734,1123,13,437,256967.38820148457,1,1.1924238183573503,21463.628730432305,2.0,278431.0169319169,nominal,Nominal joint
0.9988329780237152,0.9999720457679326,1004,8,385,231873.00157396772,1,2.727345340285445,49092.21612513801,2.0,280965.21769910573,nominal,Nominal joint
0.9986084034047178,1.0,1289,12,556,351071.5331888915,0,0.0,0.0,2.0,351071.5331888915,nominal,Nominal joint
0.9988594190014112,0.9998792675661232,1025,11,403,240734.8428896193,4,2.7369167724687795,49264.50190443803,2.0,289999.3447940573,nominal,Nominal joint
0.9984666663699507,1.0,1133,10,420,254443.28583258967,0,0.0,0.0,2.0,254443.28583258967,nominal,Nominal joint
0.9986950684665451,0.9996233792190335,1226,12,491,313616.14016811195,1,2.2361619726055944,40250.915506900696,2.0,353867.05567501264,nominal,Nominal joint
0.9993850563748079,0.9999970861801396,665,7,254,153143.20194073225,1,0.5075271754694851,9135.489158450731,2.0,162278.691099183,nominal,Nominal joint
0.9990325157065771,1.0,934,9,370,241344.7876178015,0,0.0,0.0,2.0,241344.7876178015,nominal,Nominal joint
0.9985856865044386,0.9999476877164777,1175,8,425,264331.46097988094,1,0.9486080702417473,17074.945264351452,2.0,281406.4062442324,nominal,Nominal joint
0.9984198138767671,1.0,1317,6,488,307500.54074932507,0,0.0,0.0,2.0,307500.54074932507,nominal,Nominal joint
0.9986301080438377,1.0,1135,11,446,267662.43387813633,0,0.0,0.0,2.0,267662.43387813633,nominal,Nominal joint
0.9985550282041483,1.0,1130,8,392,241103.68876783742,0,0.0,0.0,2.0,241103.68876783742,nominal,Nominal joint
0.9988040522957926,1.0,1040,9,364,218259.28039832824,0,0.0,0.0,2.0,218259.28039832824,nominal,Nominal joint
0.998707637300053,1.0,1057,6,352,216925.05447047282,0,0.0,0.0,2.0,216925.05447047282,nominal,Nominal joint
0.9986321156013322,0.9995103494299021,1088,10,390,238255.43787593165,3,4.270131793864004,76862.37228955208,2.0,315117.81016548374,nominal,Nominal joint
0.9988823841739093,1.0,979,11,393,235674.85632512515,0,0.0,0.0,2.0,235674.85632512515,nominal,Nominal joint
0.9987571660934712,1.0,1049,12,386,239352.88547895086,0,0.0,0.0,2.0,239352.88547895086,nominal,Nominal joint
0.9987588978847096,0.9999616365204287,1052,8,387,237375.02907567774,1,1.4539143438569506,26170.45818942511,2.0,263545.48726510286,nominal,Nominal joint
0.9987521050765331,0.9999757198467291,996,7,358,228902.13514312493,3,2.8991222959505873,52184.20132711057,2.0,281086.3364702355,correlated,Nominal joint
0.9983254847820328,0.9998677080587157,1396,12,548,330997.04162866244,3,2.5965354857326863,46737.63874318835,2.0,377734.6803718508,correlated,Nominal joint
0.9985295243229713,0.9999164242683628,1222,8,466,298876.20241759863,2,3.080589107222123,55450.60392999821,2.0,354326.8063475968,correlated,Nominal joint
0.9987937871828347,0.9999989729021393,1069,13,410,247491.82988864573,1,0.28220197850083445,5079.63561301502,2.0,252571.46550166074,correlated,Nominal joint
0.9987492884813024,1.0,1082,8,439,267625.65604370896,0,0.0,0.0,2.0,267625.65604370896,correlated,Nominal joint
0.9988959910720246,0.9999420609397252,950,10,396,242817.7219803958,3,3.4440355330476455,61992.639594857625,2.0,304810.3615752534,correlated,Nominal joint
0.9984696845448497,0.9999748980114356,1152,10,424,256915.68002882067,2,2.310339716869175,41586.114903645146,2.0,298501.7949324658,correlated,Nominal joint
0.9984354187666081,0.99995893454225,1158,10,438,267145.3253634274,1,0.4651511877861062,8372.721380149911,2.0,275518.0467435773,correlated,Nominal joint
0.9985794298462773,1.0,1030,5,346,214037.841431357,0,0.0,0.0,2.0,214037.841431357,correlated,Nominal joint
0.9986250882387689,0.9998558616097728,1215,11,445,279793.7253727225,1,1.0094265641805866,18169.67815525056,2.0,297963.40352797305,correlated,Nominal joint
0.998665092427364,0.999893509414219,1161,8,415,244768.0552163192,1,0.809877212117699,14577.789818118583,2.0,259345.84503443778,correlated,Nominal joint
0.9985679119349794,1.0,1186,10,408,258411.5301146939,0,0.0,0.0,2.0,258411.5301146939,correlated,Nominal joint
0.9983589176981913,0.9999193383935707,1422,8,567,363663.4013520798,1,1.5260649334997574,27469.16880299563,2.0,391132.57015507546,correlated,Nominal joint
0.9987135832922417,0.9999851587491531,1025,7,372,226412.87631208936,2,0.9597602572199879,17275.684629959782,2.0,243688.56094204914,correlated,Nominal joint
0.9988407542234395,0.9999383203143174,1060,8,428,258595.15580084248,1,0.5727047498315847,10308.685496968525,2.0,268903.841297811,correlated,Nominal joint
0.9987938172807796,0.999825056259374,1035,11,383,226611.13277780983,3,2.754094436569639,49573.6998582535,2.0,276184.83263606334,correlated,Nominal joint
0.9989173579696936,0.9999581022511432,929,11,393,239098.17766473835,2,2.0099649696613238,36179.369453903826,2.0,275277.5471186422,correlated,Nominal joint
0.9988578831253857,0.9997550696955815,997,13,391,242041.1998899242,3,3.370754573404081,60673.582321273454,2.0,302714.78221119766,correlated,Nominal joint
0.9986063715222898,1.0,1146,11,446,271827.53610674624,0,0.0,0.0,2.0,271827.53610674624,correlated,Nominal joint
0.9985385999646309,0.9999955508931513,1214,11,468,283691.7614295486,1,0.3899517082639963,7019.130748751933,2.0,290710.89217830054,correlated,Nominal joint
0.9987347004510222,0.9999997097634937,1093,8,417,256973.4923482817,1,0.25912450453314867,4664.241081596676,2.0,261637.73342987837,correlated,Nominal joint
0.9987607635750512,0.9999577439815703,1049,11,371,215158.14930620894,2,1.6551701168189408,29793.062102740932,2.0,244951.21140894986,correlated,Nominal joint
0.9987648475477311,1.0,1099,8,428,262454.16869609396,0,0.0,0.0,2.0,262454.16869609396,correlated,Nominal joint
0.9988622746816693,0.9997175160646266,980,5,331,193304.5790291652,1,1.7350271298782611,31230.4883378087,2.0,224535.0673669739,correlated,Nominal joint
0.9985715806879065,0.9998685789115113,1193,9,409,252444.2711504329,2,2.404543162355507,43281.776922399134,2.0,295726.04807283205,correlated,Nominal joint
0.9963687255588746,0.9998641874832161,3270,24,1478,895301.5676455282,4,6.767782873871187,121820.09172968139,3.0,1017121.6593752096,demand10,Nominal joint
0.9964808209184524,0.9999145545008277,3397,20,1568,975643.0549456577,3,3.107088418571216,55927.59153428189,3.0,1031570.6464799396,demand10,Nominal joint
0.9964671294786213,0.9997394244990327,3262,20,1438,891951.3065309364,5,5.116638521658772,92099.4933898579,3.0,984050.7999207943,demand10,Nominal joint
0.9959421854437234,0.9995667734996337,3349,20,1351,829749.2085827545,4,4.054601435226975,72982.82583408555,3.0,902732.0344168401,demand10,Nominal joint
