route_id,dock_id,requested_arrival_h,scheduled_start_h,scheduled_end_h,waiting_h,dock_service_h,overtime_h
R056,0,7.016261218091875,7.016261218091875,7.523629260641876,0.0,0.50736804255,0.0
R055,1,13.513826804555634,13.513826804555634,13.998173555555635,0.0,0.484346751,0.0
R053,2,8.842766170038495,8.842766170038495,9.368244059538494,0.0,0.5254778895000001,0.0
R054,3,15.995175318102287,15.995175318102287,16.505864694352287,0.0,0.51068937625,0.0
R050,4,12.335366935845506,12.335366935845506,12.844403354145506,0.0,0.5090364183,0.0
R051,0,7.407237883242794,7.523629260641876,8.024712242441876,0.1163913773990819,0.5010829818,0.0
R052,0,15.02586044146203,15.02586044146203,15.53884244956203,0.0,0.5129820081,0.0
R045,2,10.03291794796879,10.03291794796879,10.54853628796879,0.0,0.51561834,0.0
R047,2,16.560384865732736,16.560384865732736,17.047899818107737,0.0,0.487514952375,0.0
R044,4,12.191739068522724,12.844403354145506,13.339595097270506,0.652664285622782,0.49519174312500003,0.0
R048,4,8.146082294667199,13.339595097270506,13.849194223395505,5.193512802603307,0.509599126125,0.0
R049,4,15.830604169967781,15.830604169967781,16.35166874446778,0.0,0.5210645745,0.0
R046,1,11.074160693374594,13.998173555555635,14.497323847805635,2.9240128621810406,0.49915029224999996,0.0
R042,1,7.099106968753606,14.497323847805635,14.986665231805635,7.398216879052029,0.48934138400000005,0.0
R041,1,13.695292551448206,14.986665231805635,15.470516190305634,1.2913726803574281,0.48385095850000004,0.0
R038,1,9.356017252826675,15.470516190305634,15.951348080305634,6.11449893747896,0.48083189000000004,0.0
R039,0,15.93674784949322,15.93674784949322,16.403498873993218,0.0,0.46675102450000006,0.0
R043,1,11.880603886650118,15.951348080305634,16.416562678305635,4.070744193655516,0.465214598,0.0
R037,4,8.122264444816736,16.35166874446778,16.81941722546778,8.229404299651044,0.467748481,0.0
R036,0,14.175997550614227,16.403498873993218,16.87102985149322,2.2275013233789913,0.46753097750000006,0.0
R040,1,10.712715225683922,16.416562678305635,16.926240662305634,5.703847452621712,0.509677984,0.0
R030,3,16.93412915447138,16.93412915447138,17.425915221471378,0.0,0.49178606700000005,0.0
R035,4,13.240236359950858,16.81941722546778,17.29085398946778,3.579180865516923,0.471436764,0.0
R031,0,9.086534964480967,16.87102985149322,17.35607366449322,7.784494887012253,0.48504381300000005,0.0
R028,1,15.584521796195325,16.926240662305634,17.415215819305633,1.341718866110309,0.48897515700000005,0.0
R027,2,11.480551643426121,17.047899818107737,17.575463405857736,5.567348174681616,0.52756358775,0.0
R029,4,8.014050424276032,17.29085398946778,17.76695638946778,9.276803565191749,0.47610240000000004,0.0
R032,0,14.790524214407391,17.35607366449322,17.84101549849322,2.565549450085829,0.484941834,0.0
