stress_dimension,stress_level,critical_fill_rate,prob_critical_fill_ge_999,line_stop_probability,mean_line_stop_events
supplier_outage_days,0.0,0.9999982769116891,1.0,0.04,0.04
supplier_outage_days,2.0,0.9999982769116891,1.0,0.04,0.04
supplier_outage_days,4.0,0.9999982769116891,1.0,0.04,0.04
supplier_outage_days,6.0,0.9999982769116891,1.0,0.04,0.04
supplier_outage_days,8.0,0.9999982769116891,1.0,0.04,0.04
supplier_outage_days,10.0,0.9999982440536707,1.0,0.08,0.08
demand_multiplier,1.0,0.9999986025098028,1.0,0.04,0.04
demand_multiplier,1.1,0.9999821910612355,1.0,0.28,0.28
demand_multiplier,1.2,0.9997029672976001,1.0,1.0,3.48
demand_multiplier,1.3,0.9974512317433764,0.0,1.0,21.72
demand_multiplier,1.4,0.9932572613221897,0.0,1.0,56.0
container_availability,1.0,0.9999994267455389,1.0,0.04,0.04
container_availability,0.96,0.9999680890462979,1.0,0.24,0.32
container_availability,0.92,0.9999015007923524,1.0,0.68,0.96
container_availability,0.88,0.9997491450313143,1.0,0.88,2.48
container_availability,0.84,0.9995477706719795,0.92,0.96,5.44
